iter	Passed	Remaining
0	56	56677
1	56	28427
2	57	19007
3	57	14296
4	57	11476
5	57	9598
6	58	8248
7	58	7236
8	58	6448
9	58	5818
10	58	5303
11	59	4874
12	59	4510
13	59	4199
14	59	3929
15	60	3691
16	60	3483
17	60	3298
18	60	3131
19	60	2982
20	61	2846
21	61	2727
22	61	2614
23	61	2514
24	62	2420
25	62	2333
26	62	2251
27	62	2180
28	63	2110
29	63	2046
30	63	1984
31	63	1929
32	63	1875
33	64	1823
34	64	1775
35	64	1729
36	64	1686
37	64	1645
38	65	1606
39	65	1569
40	65	1533
41	65	1500
42	65	1468
43	66	1437
44	66	1408
45	66	1380
46	66	1353
47	66	1328
48	67	1303
49	67	1279
50	67	1257
51	67	1235
52	67	1214
53	68	1194
54	68	1175
55	68	1156
56	68	1138
57	69	1121
58	69	1104
59	69	1087
60	69	1071
61	69	1056
62	70	1041
63	70	1026
64	70	1012
65	70	999
66	70	986
67	71	973
68	71	961
69	71	949
70	71	937
71	71	925
72	72	914
73	72	904
74	72	893
75	72	883
76	72	873
77	73	863
78	73	853
79	73	844
80	73	835
81	73	826
82	73	816
83	74	807
84	74	799
85	74	791
86	74	783
87	74	776
88	75	768
89	75	761
90	75	754
91	75	747
92	75	740
93	76	733
94	76	727
95	76	720
96	76	714
97	76	708
98	77	702
99	77	697
100	77	692
101	78	686
102	78	681
103	78	675
104	78	670
105	78	664
106	79	659
107	79	654
108	79	649
109	79	644
110	79	639
111	79	634
112	80	629
113	80	624
114	80	619
115	80	615
116	80	610
117	81	606
118	81	601
119	81	597
120	81	593
121	81	588
122	82	584
123	82	580
124	82	577
125	82	573
126	82	569
127	83	565
128	83	562
129	83	558
130	83	554
131	83	551
132	84	547
133	84	544
134	84	540
135	84	537
136	84	534
137	85	531
138	85	528
139	85	524
140	85	522
141	85	518
142	86	515
143	86	512
144	86	509
145	86	506
146	86	503
147	87	501
148	87	498
149	87	495
150	87	492
151	87	489
152	87	487
153	88	484
154	88	481
155	88	479
156	88	476
157	88	474
158	89	471
159	89	469
160	89	466
161	89	463
162	89	461
163	90	459
164	90	456
165	90	454
166	90	452
167	90	449
168	91	447
169	91	445
170	91	443
171	91	441
172	91	439
173	92	440
174	92	438
175	93	436
176	93	434
177	93	432
178	93	430
179	94	428
180	94	426
181	94	424
182	94	422
183	94	420
184	95	418
185	95	416
186	95	414
187	95	412
188	95	411
189	96	409
190	96	407
191	96	405
192	96	403
193	96	402
194	96	400
195	97	398
196	97	396
197	97	395
198	97	393
199	98	392
200	98	390
201	98	388
202	98	387
203	98	385
204	99	383
205	99	382
206	99	380
207	99	379
208	99	377
209	99	376
210	100	374
211	100	372
212	100	371
213	100	369
214	100	368
215	101	366
216	101	365
217	101	363
218	101	362
219	101	361
220	102	359
221	102	358
222	102	357
223	102	355
224	102	354
225	103	352
226	103	351
227	103	350
228	103	348
229	103	347
230	104	346
231	104	345
232	104	343
233	104	342
234	104	341
235	104	339
236	105	338
237	105	337
238	105	336
239	105	334
240	105	333
241	106	332
242	106	331
243	106	330
244	106	329
245	106	327
246	107	326
247	107	325
248	107	324
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	109	318
255	109	317
256	109	316
257	109	315
258	109	314
259	110	313
260	110	312
261	110	311
262	110	310
263	110	309
264	111	308
265	111	307
266	111	305
267	111	304
268	111	303
269	112	302
270	112	301
271	112	300
272	112	299
273	112	298
274	113	297
275	113	296
276	113	296
277	113	295
278	113	294
279	114	293
280	114	292
281	114	291
282	114	290
283	114	289
284	114	288
285	115	287
286	115	286
287	115	285
288	115	284
289	115	283
290	116	283
291	116	282
292	116	281
293	116	280
294	116	279
295	117	278
296	117	277
297	117	277
298	117	276
299	118	275
300	118	274
301	118	273
302	118	272
303	118	272
304	119	271
305	119	270
306	119	269
307	119	268
308	119	267
309	120	267
310	120	266
311	120	265
312	120	264
313	120	263
314	120	263
315	121	262
316	121	261
317	121	260
318	121	259
319	121	259
320	122	258
321	122	257
322	122	256
323	122	256
324	122	255
325	123	254
326	123	253
327	123	253
328	123	252
329	124	251
330	124	251
331	124	250
332	124	249
333	124	249
334	125	248
335	125	247
336	125	247
337	125	246
338	125	245
339	126	244
340	126	244
341	126	243
342	126	242
343	126	241
344	127	241
345	127	240
346	127	239
347	127	239
348	127	238
349	128	237
350	128	237
351	128	236
352	128	235
353	128	235
354	128	234
355	129	233
356	129	233
357	129	232
358	129	231
